Date,Open,High,Low,Close,Total Trade Quantity
1571149860,0.02200719,0.02200719,0.02199881,0.02199881,3.0
1571149920,0.02200311,0.02200534,0.02199882,0.02200493,4.0
1571149980,0.02200551,0.02200621,0.02200492,0.02200621,3.00348
1571150040,0.02202246,0.02204191,0.02202246,0.02204191,3.0
1571150100,0.02204363,0.02204363,0.0220318,0.0220318,1.9728077
1571150160,0.02204363,0.02204363,0.0220318,0.0220318,1.9728077
1571150220,0.0220303,0.0220347,0.0220303,0.0220347,0.05584601
1571150280,0.02204525,0.02204525,0.0220347,0.0220347,1.02493682
1571150340,0.0220347,0.0220347,0.0220347,0.0220347,2.02292528
1571150400,0.0220347,0.0220347,0.0220347,0.0220347,2.02292528
1571150460,0.02203595,0.02203595,0.02203595,0.02203595,0.38113947
1571150520,0.02203595,0.02203595,0.02203595,0.02203595,0.38113947
1571150580,0.02203595,0.02203595,0.02203595,0.02203595,0.38113947
1571150640,0.02203595,0.02203595,0.02203595,0.02203595,0.38113947
1571150700,0.02204717,0.02205546,0.02204717,0.02205546,0.15004595
1571150760,0.02204717,0.02205546,0.02204717,0.02205546,0.15004595
1571150820,0.02205546,0.02205556,0.02205546,0.02205556,3.4309142
1571150880,0.02205546,0.02205556,0.02205546,0.02205556,3.4309142
1571150940,0.02205253,0.02205253,0.02205253,0.02205253,1.1418109
1571151000,0.02205395,0.02205395,0.02205395,0.02205395,0.444916
1571151060,0.02205255,0.02205255,0.02205255,0.02205255,0.296611
1571151120,0.02205253,0.02205253,0.02205253,0.02205253,0.5727707
1571151180,0.02205253,0.02205253,0.02205253,0.02205253,0.5727707
1571151240,0.02205253,0.02205253,0.02205253,0.02205253,0.5727707
1571151300,0.02205253,0.02205253,0.02205253,0.02205253,0.5727707
1571151360,0.02205253,0.02205253,0.02205253,0.02205253,0.5727707
1571151420,0.02202645,0.02203815,0.02202645,0.02203815,3.15
1571151480,0.02203456,0.02203456,0.02201,0.02201,3.64557785
1571151540,0.02203456,0.02203456,0.02201,0.02201,3.64557785
1571151600,0.02200902,0.02200902,0.02200902,0.02200902,0.46559761
1571151660,0.02201156,0.02201156,0.02199495,0.02199495,0.04586347
1571151720,0.02201156,0.02201156,0.02199495,0.02199495,0.04586347
1571151780,0.02201156,0.02201156,0.02199495,0.02199495,0.04586347
1571151840,0.02201156,0.02201156,0.02199495,0.02199495,0.04586347
1571151900,0.02201156,0.02201156,0.02199495,0.02199495,0.04586347
1571151960,0.02202847,0.02202847,0.0220107,0.0220107,7.90509917
1571152020,0.02202847,0.02202847,0.0220107,0.0220107,7.90509917
1571152080,0.02204979,0.02204979,0.02204979,0.02204979,0.307988
1571152140,0.02204979,0.02204979,0.02204979,0.02204979,0.307988
1571152200,0.02204785,0.02204785,0.0220309,0.0220309,3.0
1571152260,0.02205535,0.02205536,0.02205535,0.02205536,5.95274
1571152320,0.02205535,0.02205536,0.02205535,0.02205536,5.95274
1571152380,0.02204399,0.02204399,0.02204399,0.02204399,3.96
1571152440,0.02204397,0.02204397,0.02204397,0.02204397,0.1113229
1571152500,0.02204398,0.02204398,0.02204398,0.02204398,0.062417
1571152560,0.02204466,0.02204466,0.02204466,0.02204466,2.8
1571152620,0.02204964,0.02204964,0.02204964,0.02204964,0.4092956
1571152680,0.02204964,0.02204964,0.02204964,0.02204964,0.4092956
1571152740,0.02204964,0.02204964,0.02204964,0.02204964,0.4092956
1571152800,0.02204964,0.02204964,0.02204964,0.02204964,0.4092956
1571152860,0.02204943,0.02206071,0.02204943,0.02206071,0.64749912
1571152920,0.02204943,0.02206071,0.02204943,0.02206071,0.64749912
1571152980,0.02204943,0.02206071,0.02204943,0.02206071,0.64749912
